OBJECTID,Town,Latitude,Longitude,Year_,Location,imperv500,imperv1000,imperv2000
1,S. Portland,43.633741000000001,-70.249860999999996,2014,2,339211,1065328,3050337
2,Portland,43.681390000000000,-70.275599999999997,2014,3,173448,829263,3588016
3,Yarmouth,43.799039999999998,-70.118340000000003,2014,4,24056,59639,209218
4,Freeport,43.842202000000000,-70.099984000000006,2014,5,39736,126652,1230323
5,Brunswick,43.864617000000003,-70.026340000000005,2014,6,20978,68622,208557
6,South Portland,43.637981000000003,-70.247398000000004,2015,11,272772,1083277,3516937
7,Falmouth Fore,43.733249999999998,-70.204300000000003,2015,12,97857,307325,793512
8,Yarmouth,43.798141000000001,-70.175101999999995,2015,13,152027,670129,2016376
9,Winslow,43.800609999999999,-70.117996000000005,2015,14,28143,67296,236946
10,Ltl Flying Pt,43.832419999999999,-70.044601000000000,2015,15,10902,56188,241916
11,Lookout Point,43.807189999999999,-69.992896999999999,2015,17,19596,52313,186324
12,Lowell's Cove,43.759621000000003,-69.974602000000004,2015,16,78193,184868,297531
13,Basin Point,43.738917999999998,-70.042197999999999,2015,18,15163,26055,109809
14,Cousins Island,43.753922000000003,-70.139602999999994,2015,19,35115,153596,327345
15,Chebeague Isl.,43.713901999999997,-70.125702000000004,2015,20,25947,63948,212965
16,Long Island,43.706668999999998,-70.141295999999997,2015,21,18315,44227,177323
17,Peaks Island,43.654251000000002,-70.199096999999995,2015,22,84117,189162,410975
18,Kettle Cove,43.561562000000002,-70.219200000000001,2015,10,27657,165748,505290
19,Biddeford,43.494700000000002,-70.479190000000003,2014,1,,,
20,Bath,43.888860999999999,-69.816083000000006,2014,7,,,
22,Boothbay,43.855212000000002,-69.635799000000006,2014,8,,,
23,Biddeford,43.474361000000002,-70.410599000000005,2015,9,,,
