				pct	pct	pct	pct	pct	pct	ng/g wet	T/F	ng/g OC dry	fraction of LD50	fraction of LD50	ng/g wet	T/F	ng/g OC dry	fraction of LD50	fraction of LD50					
LocCode	Location_Descr	Date	Year	Coarse	Sand	Silt	Clay	TOC	Moisture	Bifenthrin_Raw	Bifenthrin_ND	Bifenthrin_OC	BTU_H	BTU_E	Cypermethrin_RAW	Cypermethrin_ND	Cypermethrin_OC	CTU_H	CTU_E	Fenvalerate_RAW	Fenvalerate_ND	Fenvalerate_OC	FTU_H	FTU_E
1	Biddeford		2014	7.9	57.2	21.1	13.8	2.4	61	0.760	F	80.1	0.15	0.08	5	F	641.0	1.69	0.45					
2	S. Portland		2014	1.4	34.1	43.5	20.9	2.6	55	1.000	F	85.4	0.16	0.08	0.2	T	22.2							
3	Portland		2014	1.4	78.5	9.0	11.1	0.8	29	0.320	F	55.1	0.11	0.05	0.2	T	14.1							
4	Yarmouth		2014	1.0	9.4	63.6	26.0	2.6	59	0.560	F	52.5	0.10	0.05	0.2	T	24.4							
5	Freeport		2014	1.8	32.8	40.9	24.6	1.7	50	0.091	F	10.8	0.02	0.01	0.2	T	20.0							
6	Brunswick		2014	0.2	16.2	53.7	29.9	2.8	60	0.045	T	1.6			0.2	T	25.0							
7	Bath		2014	1.4	75.8	15.4	7.4	1.5	37	0.054	F	5.9	0.01	0.01	0.2	T	15.9							
7	Bath		2014	3.3	74.7	14.8	7.3	1.4	37	0.066	F	7.5	0.01	0.01	0.2	T	15.9							
9	Biddeford (Saco R)		2015	15.5	73.6	7.7	3.2	0.6	34	0.110	F	27.0	0.05	0.03						0.13	T	31.87211925		
10	Kettle Cove (Cape Elizabeth)		2015	28.0	63.2	6.0	2.7	1.6	39	0.064	F	6.5	0.01	0.01						0.13	T	13.26990997		
11	S. Portland (4/15)	4/15/2015	2015	4.2	72.5	18.5	4.8	0.8	32	0.310	F	56.3	0.11	0.05						0.13	T	23.60203341		
11	S. Portland (6/12)	6/12/2015	2015	1.4	57.1	29.2	12.3	1.5	44	0.350	F	42.5	0.08	0.04						0.13	T	15.7920311		
11	S. Portland (8/7)	8/7/2015	2015	8.6	65.5	13.3	12.6	1.3	42	0.360	F	47.9	0.09	0.05						0.13	T	17.29459344		
11	S. Portland (10/7)	10/7/2015	2015	2.5	69.6	16.9	11.0	1.3	43	0.350	F	49.1	0.09	0.05						0.13	T	18.24561404		
12	Falmouth-Foreside		2015	12.7	83.9	2.3	1.1	0.5	23	0.190	F	51.5	0.10	0.05						0.13	T	35.24659057		
12	Falmouth-Foreside (duplicate)		2015	16.2	80.4	1.3	2.1	0.4	21	0.170	F	60.8	0.12	0.06						0.13	T	46.48501752		
13	Yarmouth (4/15)	4/15/2015	2015	13.2	30.7	42.0	14.1	1.6	47	0.190	F	23.0	0.04	0.02						0.13	T	15.72327044		
13	Yarmouth (6/12)	6/12/2015	2015	2.0	36.3	43.3	18.4	1.6	57	0.260	F	38.5	0.07	0.04						0.13	T	19.25640646		
13	Yarmouth (8/7)	8/7/2015	2015	14.4	34.5	30.8	20.3	1.7	54	0.210	F	26.9	0.05	0.03						0.13	T	16.68292182		
13	Yarmouth (10/7)	10/7/2015	2015	8.1	48.2	28.8	14.9	1.3	50	0.170	F	25.8	0.05	0.03						0.13	T	19.6969697		
14	Winslow Park		2015	2.7	74.5	13.1	9.7	0.6	40	0.063	F	16.3	0.03	0.02						0.13	T	33.59173127		
15	Little Flying Point		2015	10.9	39.0	22.3	27.8	0.4	27	0.045	T	14.7								0.13	T	42.50171642		
15	Little Flying Point (replicate)		2015	9.4	58.0	16.8	15.9	0.9	32	0.058	F	9.4	0.02	0.01						0.13	T	21.14783967		
16	Lowell's Cove		2015	21.2	75.8	1.1	2.0	0.4	30	0.045	T	16.2								0.13	T	46.8975469		
17	Lookout Point (Harpswell Center)		2015	9.5	83.4	4.9	2.3	0.4	28	0.045	T	17.7								0.21	F	82.39171375	0.216820299	0.05843384
18	Basin Point		2015	14.1	80.2	2.5	3.2	0.8	27	0.045	T	7.3								0.13	T	20.97552318		
19	Cousins Island		2015	25.1	70.4	2.6	1.9	0.3	20	0.045	T	17.5								0.13	T	50.62305296		
20	Cheabeague Island		2015	2.5	94.9	1.3	1.2	0.2	20	0.045	T	35.8								0.13	T	103.5031847		
21	Long Island		2015	31.2	65.9	1.2	1.7	0.4	25	0.045	T	14.9								0.13	T	42.90429043		
22	Peaks Island		2015	10.7	86.4	1.8	1.1	0.3	24	0.045	T	21.5								0.13	T	61.97559115		
