Map Key	Town	Latitude	Longitude
1	Kittery 	43.091343	-70.727603
2	Ogunquit 	43.270853	-70.597489
3	Biddeford	43.49470	-70.47919
4	S. Portland	43.633741	-70.249861
5	Portland  (TS)*	43.68139	-70.27560
6	Yarmouth	43.79904	-70.11834
7	Freeport	43.842202	-70.099984
8	Brunswick	43.864617	-70.02634
9	Bath	43.888861	-69.816083
10	Boothbay Harbor	43.855212	-69.635799
11	Rockland	44.105404	-69.110663
12	Camden	44.203222	-69.058028
13	Belfast	44.425278	-68.999611
14	Blue Hill	44.41338	-68.58694
15	Ellsworth	44.633741	-68.420388
16	Cherryfield	44.60909	-67.93781
17	Columbia Falls	44.65361	-67.72739
18	Jonesboro	44.666	-67.61217
19	Machias	44.71344	-67.45889
20	Whiting	44.78979	-67.1756
